region,search_term,Bigram,Conc.M,Conc.SD,Unknown,Total,Percent_known,SUBTLEX,Dom_Pos
nyc1,roadsweeper,0,4.85,0.37,1,27,0.96,0,0
nyc1,traindriver,0,4.54,0.71,3,29,0.90,0,0
nyc1,tush,0,4.45,1.01,3,25,0.88,66,0
nyc1,hairdress,0,3.93,1.28,0,29,1.00,1,0
nyc1,pharmaceutics,0,3.77,1.41,4,26,0.85,0,0
nyc1,hoover,0,3.76,1.23,4,29,0.86,162,0
nyc1,shopkeeping,0,3.18,1.19,1,29,0.97,0,0
nyc1,pushiness,0,2.48,1.24,1,30,0.97,0,0
nyc1,underdevelop,0,2.37,1.4,0,30,1.00,0,0
nyc1,tirelessness,0,2.28,1.28,1,30,0.97,0,0
nyc1,oldfashioned,0,2.26,1.02,0,27,1.00,0,0
nyc1,wellmannered,0,2.25,1.14,2,30,0.93,0,0
nyc1,dismissiveness,0,1.83,1,1,30,0.97,0,0
nyc1,spitefulness,0,1.8,0.76,0,25,1.00,0,0
nyc1,untruthfulness,0,1.73,0.92,4,30,0.87,0,0
nyc1,dispiritedness,0,1.56,0.71,3,28,0.89,0,0
nyc1,sled,0,5,0,0,28,1.00,149,Adjective
nyc1,plunger,0,4.96,0.2,0,26,1.00,48,Adjective
nyc1,human,0,4.93,0.26,0,28,1.00,6363,Adjective
nyc1,waterbed,0,4.93,0.27,0,27,1.00,27,Adjective
nyc1,cymbal,0,4.92,0.28,1,25,0.96,13,Adjective
nyc1,ginger,0,4.92,0.27,0,26,1.00,327,Adjective
nyc1,bobsled,0,4.9,0.41,0,29,1.00,48,Adjective
nyc1,cardboard,0,4.9,0.41,0,29,1.00,138,Adjective
nyc1,olive,0,4.9,0.31,0,30,1.00,375,Adjective
nyc1,dogsled,0,4.89,0.32,0,27,1.00,2,Adjective
nyc1,rubber,0,4.86,0.74,0,29,1.00,714,Adjective
nyc1,soybean,0,4.82,0.77,0,28,1.00,25,Adjective
nyc1,tangerine,0,4.81,0.62,0,27,1.00,38,Adjective
nyc1,headrest,0,4.8,0.76,0,30,1.00,6,Adjective
nyc1,eucalyptus,0,4.77,0.57,0,30,1.00,25,Adjective
nyc1,saltwater,0,4.77,0.82,0,30,1.00,31,Adjective
nyc1,armrest,0,4.76,0.83,0,29,1.00,8,Adjective
nyc1,paramedic,0,4.74,0.45,1,24,0.96,107,Adjective
nyc1,liquid,0,4.72,0.54,0,25,1.00,395,Adjective
nyc1,billfold,0,4.71,1,2,26,0.92,12,Adjective
nyc1,canine,0,4.71,0.6,0,28,1.00,86,Adjective
nyc1,flowerbed,0,4.71,0.6,0,28,1.00,6,Adjective
nyc1,soy,0,4.7,0.6,0,30,1.00,118,Adjective
nyc1,bald,0,4.69,0.47,0,26,1.00,496,Adjective
nyc1,lilac,0,4.69,0.97,0,29,1.00,39,Adjective
nyc1,hemorrhoid,0,4.68,0.72,1,29,0.97,18,Adjective
nyc1,orange,0,4.66,0.9,0,29,1.00,1138,Adjective
nyc1,arachnid,0,4.65,0.69,3,29,0.90,13,Adjective
nyc1,underarm,0,4.63,0.72,0,30,1.00,4,Adjective
nyc1,barefoot,0,4.62,0.68,0,29,1.00,121,Adjective
nyc1,bearded,0,4.62,0.7,1,27,0.96,65,Adjective
nyc1,thyroid,0,4.61,0.74,0,28,1.00,28,Adjective
nyc1,wooden,0,4.61,0.63,0,28,1.00,367,Adjective
nyc1,sleeveless,0,4.6,0.5,0,25,1.00,5,Adjective
nyc1,concrete,0,4.59,1.05,0,27,1.00,379,Adjective
nyc1,panty,0,4.59,0.91,0,29,1.00,53,Adjective
nyc1,pregnant,0,4.59,0.89,0,27,1.00,2653,Adjective
nyc1,helmeted,0,4.58,0.7,1,27,0.96,1,Adjective
nyc1,hula,0,4.58,0.64,3,29,0.90,100,Adjective
nyc1,female,0,4.57,0.88,0,28,1.00,1612,Adjective
nyc1,crematory,0,4.56,0.58,1,28,0.96,14,Adjective
nyc1,pigtailed,0,4.55,0.78,0,29,1.00,2,Adjective
nyc1,sphincter,0,4.54,0.99,1,27,0.96,57,Adjective
nyc1,backrest,0,4.52,0.92,1,26,0.96,1,Adjective
nyc1,blonde,0,4.52,1.09,0,29,1.00,710,Adjective
nyc1,farmhand,0,4.52,1.01,0,27,1.00,3,Adjective
nyc1,fat,0,4.52,0.85,0,27,1.00,4051,Adjective
nyc1,hairless,0,4.52,0.94,0,27,1.00,30,Adjective
nyc1,afghan,0,4.5,0.92,0,28,1.00,29,Adjective
nyc1,binocular,0,4.5,1.03,0,26,1.00,1,Adjective
nyc1,naked,0,4.5,1,0,28,1.00,2002,Adjective
nyc1,hairy,0,4.48,0.98,0,27,1.00,322,Adjective
nyc1,saline,0,4.48,0.94,0,27,1.00,175,Adjective
nyc1,sudsy,0,4.48,1,3,28,0.89,3,Adjective
nyc1,wet,0,4.46,0.58,0,28,1.00,2000,Adjective
nyc1,wooded,0,4.46,0.84,0,28,1.00,17,Adjective
nyc1,male,0,4.45,1.02,0,29,1.00,1731,Adjective
nyc1,rusted,0,4.44,0.85,0,27,1.00,36,Adjective
nyc1,aquamarine,0,4.43,0.92,0,28,1.00,23,Adjective
nyc1,shirtless,0,4.43,0.97,0,30,1.00,14,Adjective
nyc1,headless,0,4.42,0.95,0,26,1.00,67,Adjective
nyc1,solid,0,4.42,0.81,0,26,1.00,998,Adjective
nyc1,beaded,0,4.41,1.08,0,27,1.00,11,Adjective
nyc1,blond,0,4.41,1.12,2,29,0.93,533,Adjective
nyc1,soapy,0,4.41,0.93,0,27,1.00,25,Adjective
nyc1,woodcutting,0,4.41,0.68,0,29,1.00,1,Adjective
nyc1,prosthetic,0,4.4,1.04,0,25,1.00,34,Adjective
nyc1,roast,0,4.4,0.97,0,30,1.00,499,Adjective
nyc1,tartar,0,4.4,1.13,0,30,1.00,76,Adjective
nyc1,newborn,0,4.39,1.03,0,28,1.00,128,Adjective
nyc1,feline,0,4.38,0.98,1,30,0.97,46,Adjective
nyc1,undercooked,0,4.38,0.71,0,24,1.00,9,Adjective
nyc1,vertebrate,0,4.38,0.9,1,27,0.96,7,Adjective
nyc1,bloodstained,0,4.37,1.18,0,27,1.00,16,Adjective
nyc1,flatbed,0,4.37,0.97,0,27,1.00,21,Adjective
nyc1,joint,0,4.37,1.08,0,27,1.00,1405,Adjective
nyc1,preschool,0,4.37,1.04,0,27,1.00,61,Adjective
nyc1,beardless,0,4.36,0.91,0,28,1.00,8,Adjective
nyc1,indigo,0,4.36,0.99,0,28,1.00,16,Adjective
nyc1,frozen,0,4.34,1.2,0,29,1.00,782,Adjective
nyc1,barefooted,0,4.33,1.3,0,27,1.00,9,Adjective
nyc1,hashish,0,4.33,1.33,2,29,0.93,23,Adjective
nyc1,jeweled,0,4.33,0.78,0,27,1.00,15,Adjective
nyc1,mummified,0,4.33,0.62,0,27,1.00,14,Adjective
nyc1,paralegal,0,4.33,0.99,0,30,1.00,50,Adjective
nyc1,pleated,0,4.33,1.04,2,29,0.93,4,Adjective
nyc1,puffy,0,4.33,0.92,0,30,1.00,86,Adjective
nyc1,grassy,0,4.32,1.06,0,28,1.00,32,Adjective
nyc1,muddy,0,4.32,0.95,0,25,1.00,153,Adjective
nyc1,mustached,0,4.32,0.94,1,29,0.97,1,Adjective
nyc1,rainy,0,4.32,1.02,0,28,1.00,194,Adjective
nyc1,roundtable,0,4.32,1.12,0,28,1.00,3,Adjective
nyc1,uncircumcised,0,4.32,1.12,1,29,0.97,14,Adjective
